movieId,vector
318,0.048059523 -0.004304473 -0.005013243 0.08754179 -0.0056952755 -0.242261 0.07869184 0.3252239 -0.12902716 -0.15012431 0.13225755 -0.30788606 -0.08664382 -0.09591202 -0.17835449 0.06671715 0.22344294 -0.15443413 -0.21816935 -0.401741 -0.002198973 0.035703342 0.22499444 -0.2758505 -0.13864082 -0.0775051 -0.10888372 0.07131965 -0.130553 -0.10677413 0.1588096 -0.11339196 0.26092657 -0.15098801 -0.08457066 0.14496395 0.19351493 0.004028477 -0.03407494 -0.24877623 0.025479525 -0.18745068 -0.09204571 0.09039629 0.08977117 -0.18530169 -0.0991229 -0.008782282 0.0936953 0.22818547 0.040119458 -0.29123446 -0.03152545 0.029307155 -0.12889332 0.08590996 0.22855082 -0.051591624 -0.25145411 0.26971775 -0.16835685 0.13713524 0.27824563 -0.083357766 -0.29318255 0.3762892 -0.10197248 0.31382415 -0.2257728 0.15656666 -0.20430328 0.08447229 0.27589804 0.06931845 0.34004512 0.048880752 0.04165233 -0.0054257885 -0.28816766 -0.21631178 -0.217984 0.011641474 -0.18140212 0.35549003 -0.32007486 0.11749602 0.102815956 0.034112792 0.18191345 0.12945132 0.10566352 0.1481292 0.0031246045 0.14324686 0.4916875 0.08865839 0.09096133 -0.017914074 0.06875918 -0.048208557
296,-0.08747078 0.23268613 -0.028172309 0.08085347 0.1324959 -0.39830405 0.15141018 0.44633752 -0.17370604 -0.19915135 0.10881496 -0.32658252 -0.05918915 0.0068162307 0.02861176 0.075060606 0.20848612 0.078507416 -0.14172535 -0.452493 -0.019994952 0.037861392 0.21502087 -0.24460109 -0.07784351 -0.097978905 -0.2274462 0.012460275 -0.13245414 -0.058643565 0.24174486 -0.08139671 0.14933082 -0.19144998 -0.14834052 0.109092794 0.24156307 -0.07955389 0.15480441 -0.18762317 0.053458095 -0.16428585 -0.03154508 -0.03519945 0.081250586 -0.1899182 0.032719694 -0.06304239 0.19796348 0.0308637 0.105425544 -0.32430574 -0.07545899 0.047120713 -0.14063305 0.19771513 0.22722606 -0.008536935 -0.030965973 0.24397664 -0.09327944 0.08524247 0.25225973 0.04411602 -0.2760456 0.31681886 -0.1735155 0.24083021 -0.14300343 -0.034237344 -0.21225587 -0.011228045 0.38663357 0.08791489 0.21328323 -0.04393019 -0.100259095 0.08452106 -0.27409393 -0.15175277 -0.19505888 -0.011459405 -0.1355671 0.3451816 -0.0099488795 0.1454253 0.03910865 0.045844726 0.24878223 -0.011837869 0.08687348 0.03333297 0.0011642366 0.055308297 0.46494734 0.20004953 0.15034369 -0.11253457 0.029310899 -0.020865135
356,-0.033997815 0.104945414 -0.013782893 0.057569344 0.06325877 -0.17769507 0.07816379 0.32140318 -0.12456094 -0.23132212 0.11046092 -0.22476062 0.10299572 -0.042955566 -0.012696568 0.0034980993 0.15849394 -0.081567615 -0.14656915 -0.37652376 -0.075516306 0.08906736 0.07053793 -0.30524945 -0.08320774 -0.20336159 -0.1337408 0.075977944 -0.07793327 -0.040434256 0.121687405 -0.00047001737 0.113123044 -0.13505445 -0.12729898 0.082934335 0.1226217 -0.012032709 0.03958703 -0.18363965 0.07782576 -0.12510613 0.0018924029 0.08771058 0.23576662 -0.07877896 -0.017436208 -0.099638045 0.096779786 0.14049958 0.15574962 -0.23924366 -0.055411294 -0.043766677 -0.12662253 0.07426818 0.2682004 0.0034506808 -0.14361675 0.19525647 -0.02784213 0.10198558 0.29088008 0.033580326 -0.36069998 0.28633264 4.313673e-05 0.27273482 -0.32655436 0.2810935 -0.16987523 0.092914134 0.30265287 0.11820748 0.26621893 0.091621526 0.14231412 0.0011591316 -0.28084734 -0.10659224 -0.14097197 0.04353438 -0.24618042 0.32173562 -0.11270824 -0.0077921087 0.041850563 0.0986497 0.23522736 0.022576764 0.16904198 0.14874703 0.1177093 0.12053825 0.49659595 0.18006396 0.21638778 0.050826628 0.08737475 -0.07351794
593,-0.115452036 0.11563944 -0.023986045 0.034746822 0.07377591 -0.22693537 0.14720617 0.439563 -0.114409275 -0.27641264 0.093241185 -0.33307174 0.006248142 -0.07550745 0.025833689 0.025702953 0.20898403 -0.11759079 -0.19459096 -0.39470544 0.02622777 0.09539304 0.2191714 -0.2917996 -0.16187891 -0.11658098 -0.15151031 0.052227575 -0.11607658 -0.109492294 0.17105831 -0.09484518 0.14451987 -0.18711436 -0.12249454 0.24748546 0.14072573 0.05814577 0.048115984 -0.18411948 0.06919029 -0.14301622 0.027606416 0.13473952 0.19409944 -0.18679796 -0.07098775 -0.08900027 0.063100815 0.17372036 0.06549402 -0.27735445 -0.08097691 -0.0064245183 -0.1325398 0.10094262 0.25957847 0.018306104 -0.13934483 0.20446888 -0.098930016 0.06715271 0.38945526 0.09340654 -0.2750156 0.29468954 -0.14334121 0.3426827 -0.26786703 0.20947859 -0.15753326 0.10408327 0.29424265 0.0905905 0.26629058 0.024398593 0.03377031 0.067856826 -0.239224 -0.2022022 -0.26335353 0.012959895 -0.2314539 0.27771947 -0.16476066 0.073150896 0.1458898 0.09561068 0.22120987 0.029307405 0.05987599 0.15465741 0.07556571 0.15063144 0.55905217 0.14579247 0.20657848 0.043595128 0.08874844 -0.0916548
527,-0.04430713 0.09170144 -0.0044424566 0.08796401 0.110416435 -0.16655795 0.15991965 0.3960899 -0.16519085 -0.14450471 0.010337956 -0.25501794 -0.09644551 0.052491106 -0.10982499 -0.024788493 0.22141707 -0.11674988 -0.112909466 -0.48963258 0.035622984 0.04164153 0.17033534 -0.25369123 -0.1270002 -0.052497808 -0.244593 0.04361113 -0.16599692 0.0426576 0.07784414 -0.036649857 0.19110055 -0.24095464 -0.15902887 0.21866073 0.11355195 -0.04872545 0.016935544 -0.17830384 0.04193667 -0.20765623 -0.03057499 0.1425661 0.25529456 -0.114388436 -0.06522127 -0.14174998 0.2577058 0.096396744 0.083411 -0.10659135 0.084659025 -0.052370224 -0.1385339 0.07806136 0.16481757 -0.045082018 -0.11569012 0.12690426 -0.024900544 -0.06685077 0.30816704 0.023653314 -0.19966272 0.2818141 -0.058582176 0.3454097 -0.26181942 0.07505687 -0.1984431 0.17341934 0.20583196 0.13567333 0.26394832 0.007140384 0.07113197 0.12364718 -0.18679081 -0.12496269 -0.17360617 0.049358476 -0.20279852 0.30465293 -0.13682334 -0.058791555 0.17846954 0.029219905 0.21412918 0.027412515 0.25929216 0.16994078 0.022114456 0.046634566 0.581619 0.27872926 0.14708944 0.007763948 0.047900196 0.019591551
50,-0.09023576 0.15643959 0.06723359 0.09847197 0.03122035 -0.16660471 0.18910488 0.4412705 -0.1994097 -0.2461294 -0.010922732 -0.26175007 0.033429805 -0.0055498923 -0.01255488 -0.117201984 0.18972062 -0.13887528 -0.1860754 -0.44489032 0.064078055 0.020902416 0.3238316 -0.25557655 -0.22800952 -0.014304777 -0.2257332 0.07372649 -0.14194469 -0.026494546 0.16932714 -0.11710905 0.2674395 -0.22303244 -0.13812657 0.3185926 0.22236289 -0.051179133 0.009761024 -0.18100479 0.108852066 -0.2477147 -0.06928169 0.018762292 0.1948424 -0.17379227 -0.031541366 -0.055515327 0.1661795 0.14154942 0.02246892 -0.21183152 -0.029530743 0.045547854 -0.16645235 0.12745737 0.1857935 -0.058309123 -0.16414194 0.08690001 -0.029651681 -0.051244806 0.43560976 -0.023660274 -0.18349117 0.36565384 -0.18920207 0.28992742 -0.29189658 0.022998033 -0.16220848 0.15455094 0.2966626 0.03939212 0.2946608 0.03209069 0.021664226 0.10863657 -0.21959344 -0.11885671 -0.14876926 -0.018810058 -0.14388211 0.24291673 -0.10686992 -0.08324849 0.0037518463 -0.0070818695 0.29834813 0.06474147 0.26595432 0.13513404 -0.04624984 0.017807182 0.58730376 0.18549557 0.11398729 0.030714352 0.07808206 -0.07866678
260,-0.085698724 0.04082902 0.0790415 0.065112524 0.07346727 -0.29110587 0.17542304 0.28211224 -0.20209184 -0.21052934 -0.015570837 -0.1414896 -0.06497482 -0.009370434 0.07429612 -0.06046645 0.24895562 0.039669592 -0.1870465 -0.4395979 -0.05367233 -0.0645106 0.23962384 -0.20694721 -0.22733125 -0.023686863 -0.16042359 -0.02975563 -0.17142846 -0.16624752 0.23067322 -0.036956877 0.22242968 -0.14753273 -0.28594178 0.25416112 0.18254359 -0.036847416 -0.18746309 -0.33415183 0.1200518 -0.26179153 -0.14309339 0.004842689 0.05254223 -0.04231806 -0.0060016196 -0.1536863 0.14780408 0.31218097 0.065051585 -0.2554494 0.034335736 0.07765131 -0.16735995 0.18531935 0.03731514 -0.0063803433 -0.19890276 0.13992359 -0.034445524 -0.014719963 0.41634125 0.17476529 -0.15138808 0.31563592 -0.07582471 0.23516627 -0.2951805 0.079986826 -0.22965516 0.21817373 0.30844405 0.0054238117 0.2987339 0.009571151 0.03262269 0.10058794 -0.15031698 -0.03303553 -0.08129242 -0.0866283 -0.23972295 0.19910659 -0.16279818 -0.019704185 0.09272157 0.07253952 0.27531913 0.047987737 0.21913838 0.12709348 0.019068277 0.1307692 0.44962758 0.12660101 0.098496884 -0.11828364 0.016730867 0.013971022
608,-0.030549522 0.20213306 0.0922792 0.034179885 0.054745987 -0.12530318 0.20890802 0.41774845 -0.08921743 -0.15943798 -0.008127201 -0.18879862 -0.09840048 0.10511102 0.06634618 -0.013802054 0.2846001 -0.099225104 -0.14711271 -0.40931657 0.10151203 0.047055 0.1692375 -0.21271555 -0.20230024 -0.03325422 -0.09486893 0.045633916 -0.28709427 -0.075174324 0.111458436 -0.17530012 0.14622127 -0.14211527 -0.16815707 0.283644 0.06501497 -0.09154355 -0.06915454 -0.21417455 0.004909802 -0.19452067 -0.13466737 0.005410011 0.12753424 -0.17704998 -0.111597866 -0.097092696 0.14690228 0.14457126 0.005395936 -0.08181037 0.070315264 -0.04452058 -0.18610321 0.18566054 0.08597299 0.00026466494 -0.11168247 0.2184094 -0.057165068 -0.065171145 0.26573282 0.06154175 -0.051045604 0.37658182 -0.096507885 0.3037501 -0.18821044 -0.013356411 -0.17440118 0.08158881 0.2080247 -0.08171036 0.18010494 0.056652322 0.033146568 0.18686984 -0.23925388 -0.027231267 -0.28033182 0.026069976 -0.20507349 0.34166327 -0.1536615 0.039038822 0.18620355 0.179332 0.3884501 -0.020210447 0.16665721 0.06834546 -0.031355795 0.067211956 0.47917762 0.2881165 0.13110565 -0.12344062 0.03656271 -0.065782
457,0.14129065 0.14537278 0.0480457 0.038250845 0.07514526 -0.3973866 0.16615231 0.43326092 -0.15971097 -0.22077253 0.08815386 -0.27958548 0.10426547 -0.10244169 -0.018800676 0.08833505 0.17152707 -0.045223106 -0.12860765 -0.42655024 -0.02416493 -0.060530216 0.13131972 -0.34985548 -0.149153 -0.11351573 -0.15174231 -0.036751837 -0.02660301 -0.16575 0.11333665 -0.089111656 0.20926057 -0.14593494 -0.012744506 0.1689965 0.1804407 0.03643279 0.06562189 -0.22726111 -0.019013869 -0.17391728 -0.037099186 -0.018245257 0.24722849 -0.08346462 -0.1780659 -0.052382328 0.15214102 0.12252074 0.15618691 -0.23525962 -0.027797252 -0.021309182 -0.017994631 0.011415018 0.25794035 -0.08337061 -0.09484841 0.24392766 -0.0576071 0.09072121 0.34134176 0.0036074405 -0.3894195 0.3709586 -0.21867675 0.28725487 -0.3143075 0.11624676 -0.28757486 0.05292692 0.33172 0.19956267 0.34536538 -0.0215403 0.021877475 -0.06015266 -0.2383356 -0.19977348 -0.13127196 0.065406255 -0.29892486 0.4181985 -0.095497295 -0.029583452 0.19674696 0.0716927 0.2088167 0.052792266 0.18692316 0.17645344 0.10260374 0.1770204 0.5972126 0.1394894 0.012999339 0.034364186 0.11322969 -0.11997883
589,-0.0022742632 0.061905514 -0.026961878 0.11659101 0.09083407 -0.3004667 0.09042958 0.38366142 -0.22211431 -0.2382631 0.09602662 -0.2600994 -0.065654695 0.024081942 -0.052328512 0.07403787 0.23004697 -0.1139866 -0.09656157 -0.4778318 -0.08143084 0.009646285 0.11042647 -0.31572336 -0.14524001 -0.13363503 -0.20821185 -0.021007072 -0.16363543 -0.12326515 0.13891424 -0.06375922 0.2180342 -0.20948535 -0.1820094 0.23669901 0.18185456 -0.09976351 -0.0019794737 -0.26505625 0.08697456 -0.20785911 -0.037611715 -0.043423653 0.12140665 -0.05859022 -0.1653095 -0.1380428 0.23150241 0.17660214 0.035547644 -0.14668618 0.05253624 0.034902845 -0.06480794 0.03121199 0.2131115 -0.06937048 -0.05023474 0.17201763 0.011728447 -0.02629074 0.36512667 0.015125782 -0.2760003 0.26939446 -0.1267661 0.23925327 -0.29218552 0.09832394 -0.16038318 0.13208136 0.2972003 0.09057858 0.43738106 -0.026496245 0.11477581 -0.0001377681 -0.1959176 -0.12711346 -0.1929006 0.06949477 -0.25038123 0.36470833 -0.101774216 -0.14526531 0.10762942 0.026558112 0.26206353 0.06775958 0.16872124 0.20623444 0.026580537 0.17659107 0.4704499 0.168113 -0.07560352 0.012085478 0.08376641 0.018911269
