movieId,vector
318,0.16912146 0.2698745 -0.15918237 -0.026764575 0.116371945 -0.27210894 0.33676362 0.4556036 -0.16490047 -0.17626397 0.087036975 -0.27974647 -0.057550028 -0.034455735 0.027883912 -0.042550605 0.16959444 -0.051268253 -0.14793478 -0.5281087 0.10539652 0.20520753 0.27175242 -0.08430232 -0.20781742 0.04169287 -0.17316172 -0.04129826 -0.19018742 0.18353727 0.2596502 -0.4198222 0.26468047 -0.2788775 -0.19789945 0.33999434 -0.13013503 -0.04107933 -0.058574036 -0.14816189 0.19800824 -0.13829477 -0.14581887 0.2493996 0.31587377 0.08204981 -0.056952547 -0.2480357 0.120662935 0.19011782 0.11046279 -0.07477429 -0.090723254 -0.006865318 0.024118958 0.24521518 0.1589941 -0.11697656 -0.010979376 0.029869795 0.1494743 -0.029162435 0.14617227 0.07298835 -0.046245668 0.542524 0.07776317 0.19045165 -0.35507336 0.166466 -0.19773532 0.09004298 0.23666961 0.09370287 0.13567719 0.11951392 -0.035634603 0.14886987 -0.09187164 -0.17645672 -0.27382773 0.21704116 -0.23842968 0.36158723 -0.1784548 -0.023132848 0.39190322 0.10519695 0.15760207 0.11748756 0.2749298 0.0052642 0.17741075 0.016861942 0.2610759 0.08673372 0.16195102 0.06459141 -0.068336435 -0.15646121
296,0.1533962 0.27661258 -0.20108585 -0.017358819 0.12266362 -0.23357598 0.38912454 0.42615715 -0.16718423 -0.17653944 0.0063802903 -0.28451812 -0.04166588 -0.07223752 -0.01679664 -0.010966885 0.2587249 -0.07846434 -0.1603582 -0.5839433 0.075466156 0.14680074 0.33210337 -0.03502075 -0.21225658 0.055056646 -0.1845687 -0.033462588 -0.19094709 0.22180453 0.2930206 -0.44825515 0.22472072 -0.28686592 -0.20614861 0.31408858 -0.12710649 -0.074965164 -0.03683486 -0.104301125 0.13333572 -0.14653687 -0.11143619 0.22070396 0.26389048 0.12719068 -0.049541306 -0.28294116 0.11809941 0.17255308 0.119732305 -0.13733429 -0.11323924 -0.03790313 -0.052141115 0.22686216 0.1456512 -0.12807553 -0.121689856 0.075564586 0.13022766 -0.09619674 0.14763464 0.06217956 -0.097510025 0.5127876 0.054130644 0.13523147 -0.31526163 0.18833327 -0.21589127 0.08065494 0.22300953 0.08192802 0.09739167 0.11307617 -0.08197773 0.1733806 -0.047702316 -0.18632908 -0.3097422 0.22419176 -0.23012674 0.27864784 -0.16149358 -0.033303194 0.31118244 0.077069916 0.18606995 0.0029216444 0.27576903 -0.024948446 0.16001135 -0.020637855 0.19724347 0.07845488 0.21257815 0.041926682 -0.074159525 -0.105333254
593,0.18297637 0.2798557 -0.22329931 -0.04335172 0.14244656 -0.21937807 0.34658578 0.4268728 -0.17899492 -0.14988796 0.026591016 -0.26438448 -0.02359636 -0.0649194 0.018886665 -0.047457185 0.21219192 -0.06268857 -0.14190859 -0.5629009 0.0699897 0.17596146 0.28398737 -0.058776326 -0.19218458 0.026252689 -0.1534476 -0.057690017 -0.1809625 0.20014143 0.25406018 -0.4360995 0.24545154 -0.27117944 -0.20695369 0.31701344 -0.15318887 -0.048713475 -0.044938054 -0.13878971 0.17238109 -0.1523692 -0.10900408 0.2550266 0.30798483 0.1164256 -0.045863863 -0.27503023 0.106087424 0.18338622 0.11521911 -0.10226171 -0.1270305 -0.04674481 -0.028739708 0.21210565 0.12582032 -0.12508652 -0.06648219 0.030014966 0.16681296 -0.07051435 0.17140874 0.08686359 -0.06790685 0.53432393 0.08961613 0.17588344 -0.36490807 0.18117331 -0.1945358 0.09135318 0.2269537 0.08204366 0.11603136 0.12669143 -0.04877196 0.19316053 -0.07639347 -0.16446096 -0.2707853 0.19334953 -0.24857324 0.3121332 -0.15123007 -0.050165586 0.35169163 0.09140628 0.18800502 0.054128423 0.25651073 0.0062450203 0.1728034 -0.0027738414 0.23976803 0.08348319 0.20327705 0.05754199 -0.06397077 -0.14489307
356,0.14020482 0.24278687 -0.08606204 -0.062106308 0.15469709 -0.28062677 0.20872802 0.43648595 -0.11760282 -0.16340126 0.10159408 -0.30034837 -0.06562699 -0.0043128156 0.10234591 -0.08513398 0.049052842 -0.041273076 -0.047754414 -0.39759693 0.12116408 0.23293424 0.15115799 -0.122869596 -0.13856192 0.039783284 -0.12979019 -0.07433563 -0.15559302 0.12056576 0.19522928 -0.31296712 0.20298086 -0.21676369 -0.1612268 0.35921156 -0.09672557 -0.0065173386 -0.056383874 -0.15236628 0.29506245 -0.14710452 -0.14424846 0.20872396 0.340341 0.03187786 -0.0039394223 -0.17851983 0.095887795 0.15420096 0.11396137 -0.043810785 -0.03856838 0.01248214 0.036936965 0.24692951 0.15181169 -0.029639509 0.10610516 -0.023742676 0.12294232 0.054429185 0.13926683 0.06355496 -0.004282859 0.44442108 0.11715418 0.21483451 -0.35744613 0.11713548 -0.13576995 0.06996555 0.2413625 0.14428654 0.16119319 0.08520123 -0.012525927 0.095294304 -0.12853776 -0.07255874 -0.21134488 0.14895952 -0.23760189 0.3828517 -0.14704987 -0.023252945 0.4163749 0.16157861 0.14958939 0.15520799 0.216038 0.08541941 0.12493072 0.06355947 0.32713547 0.12414839 0.12670201 0.04473236 -0.06450443 -0.17306174
50,0.15589045 0.2656366 -0.18104087 -0.06188819 0.11799468 -0.20530695 0.30339882 0.39882046 -0.15980001 -0.13276675 -0.012440383 -0.2502568 -0.06282033 -0.047223542 0.0037360678 -0.029968709 0.18023904 -0.07365446 -0.09064059 -0.54700595 0.07088426 0.15613717 0.26414374 -0.023927143 -0.13925226 0.08124163 -0.1804988 -0.046661243 -0.16737236 0.17031556 0.21046574 -0.37550557 0.23248065 -0.2844885 -0.19061124 0.31986445 -0.12309424 -0.058062308 -0.0461161 -0.1586912 0.14161232 -0.13361853 -0.094909534 0.19158147 0.2917752 0.061599113 -0.053377476 -0.24740826 0.11580115 0.15469159 0.07185688 -0.08991252 -0.062210858 -0.060486518 -0.023697665 0.15399535 0.10085133 -0.068135716 -0.07334522 0.028767124 0.14593144 -0.10947847 0.15946306 0.08619043 -0.0856654 0.44466886 0.08001024 0.18372011 -0.32231575 0.18873815 -0.20430313 0.10898934 0.20004147 0.09932436 0.11740921 0.09712937 -0.052648325 0.17208728 -0.052049566 -0.13290624 -0.26069003 0.15763628 -0.23892973 0.27440888 -0.15399136 -0.058989447 0.33836758 0.106179856 0.14875343 0.03069248 0.23509832 0.020802999 0.14742894 0.004567045 0.25786847 0.08045217 0.15386778 0.017423362 -0.056684505 -0.10256213
260,0.086739585 0.18636523 -0.1053675 -0.04938121 0.06391017 -0.20138434 0.28165683 0.36694965 -0.14333878 -0.13744038 -0.04697684 -0.24794447 -0.04394819 -0.065398626 -0.04766299 -0.016330075 0.14918675 -0.13507684 -0.048838306 -0.46383294 0.05052521 0.090432584 0.25996858 -0.037613887 -0.1539719 0.0758268 -0.14015105 -0.05171197 -0.20229703 0.13943808 0.26306278 -0.32737213 0.13763207 -0.25233445 -0.20034708 0.23973712 -0.073261194 -0.08855644 -0.041163884 -0.116728894 0.0750562 -0.10092521 -0.068821155 0.11887071 0.22624819 0.024415892 -0.066735305 -0.18146673 0.09262337 0.12912822 0.0893424 -0.117784925 -0.0035502915 -0.009273362 -0.07390534 0.19333385 0.16149892 -0.044022627 -0.14665405 0.0503558 0.08283137 -0.094210654 0.1401068 0.039823517 -0.12504947 0.37047988 0.056268957 0.15056044 -0.24499033 0.1653496 -0.20371328 0.09583784 0.20247944 0.07461323 0.077791415 0.101400696 -0.033113636 0.10958572 -0.04824283 -0.09513254 -0.21318752 0.1421495 -0.21364424 0.21767506 -0.17864326 -0.06535539 0.20563553 0.1508245 0.13895737 -0.009928506 0.25560284 0.041874323 0.110088624 0.007456818 0.25563866 0.095857956 0.13211726 -0.0035947375 -0.00955028 -0.08059741
527,0.14709279 0.21944775 -0.12112537 -0.06918868 0.10176621 -0.18945529 0.23256648 0.36497444 -0.119004905 -0.12965411 5.5558718e-05 -0.24937253 -0.04246037 -0.01396889 0.030174693 -0.044957053 0.1140518 -0.08169769 -0.021358175 -0.45111942 0.05899558 0.16415304 0.16670989 -0.049813375 -0.07420783 0.06429481 -0.14311992 -0.09822919 -0.12430527 0.09652601 0.1308122 -0.24803738 0.16866753 -0.19520712 -0.18712516 0.30298823 -0.08460828 -0.06473973 -0.059523765 -0.18294378 0.20068747 -0.1340578 -0.09210977 0.1038921 0.28990746 0.057623364 -0.04466016 -0.20444962 0.07859858 0.14214319 0.06788795 -0.079920836 -0.052292153 -0.051139448 -0.025505977 0.13070494 0.088125065 -0.030580062 -0.052764364 0.010720293 0.12053916 -0.05409461 0.15572146 0.055769946 -0.07694599 0.33843744 0.092057 0.152435 -0.3022216 0.14267229 -0.1391956 0.09096834 0.16605093 0.096235074 0.13828768 0.05441817 -0.026272284 0.117204085 -0.0742582 -0.0401884 -0.17399797 0.10578518 -0.24087428 0.2723815 -0.12844041 -0.057679567 0.31314003 0.124367945 0.15545799 0.039049238 0.16863663 0.08039685 0.09217816 0.04379945 0.27453196 0.1356438 0.12354469 -0.010749974 -0.036163475 -0.102546
589,0.14865199 0.21416722 -0.036851738 -0.08337809 0.14571035 -0.29054412 0.19776942 0.44086063 -0.14603844 -0.17226908 0.06128928 -0.30787233 -0.09506815 -0.00705392 0.08980608 -0.05084943 0.054915514 -0.03475118 -0.045290988 -0.44382936 0.10360438 0.22931911 0.16088891 -0.14939645 -0.09874438 0.0870386 -0.17952426 -0.04324934 -0.19417048 0.13903654 0.2085032 -0.32061952 0.20724088 -0.29720914 -0.18717684 0.3467926 -0.11393463 0.003951265 -0.0550382 -0.14870623 0.24525626 -0.11781454 -0.13192207 0.19516702 0.32667562 -0.010957283 -0.038352285 -0.17276813 0.12296609 0.15831205 0.07136389 -0.06625741 0.0035993669 0.013517629 0.032708675 0.24864641 0.14271727 0.0020036087 0.10942382 0.017937709 0.112822205 0.001741344 0.13691698 0.11195506 -0.008855764 0.4843476 0.09165571 0.219426 -0.33120322 0.12645188 -0.17716011 0.10882672 0.24461296 0.14731613 0.12711315 0.08013627 0.013665806 0.09146546 -0.098235354 -0.09272946 -0.21121337 0.14150965 -0.24658166 0.384977 -0.1730814 -0.036295865 0.40292528 0.15947476 0.1318654 0.16163988 0.22989035 0.08186401 0.114542805 0.055710133 0.31406152 0.11031933 0.11040251 0.023265893 -0.05456229 -0.1419675
110,0.14516886 0.2669215 -0.06592113 -0.063903466 0.17872825 -0.31634203 0.21184842 0.47748387 -0.1490702 -0.16283016 0.1309005 -0.3354765 -0.09881322 0.008808557 0.12123269 -0.08500119 0.028587347 -0.02115887 -0.06989995 -0.43573603 0.12457423 0.26842657 0.16289584 -0.19111562 -0.13872738 0.07052996 -0.17452902 -0.08155096 -0.18947764 0.13043422 0.25340682 -0.3781232 0.24668944 -0.25508243 -0.16763502 0.3761375 -0.13727285 0.037523497 -0.0396427 -0.18038547 0.3102853 -0.1468376 -0.17292874 0.25043973 0.35458514 0.01872883 -0.018524138 -0.17409196 0.114979774 0.16688791 0.11706846 -0.04288981 -0.022069704 0.044269867 0.06241485 0.28725556 0.17529912 -0.046413947 0.17934936 -0.03534839 0.113219656 0.05343976 0.15721676 0.10106216 0.015754163 0.53854877 0.13233477 0.2423638 -0.38576722 0.1293334 -0.20155561 0.09310144 0.26661983 0.15926766 0.1413158 0.09457524 -0.01564877 0.09493348 -0.13404274 -0.11357454 -0.22555952 0.15911874 -0.23963119 0.43715587 -0.1776327 -0.018369049 0.45323813 0.13096432 0.13133162 0.22910655 0.2191194 0.08450729 0.15323797 0.061860893 0.33783457 0.12243385 0.13123655 0.08325211 -0.06798595 -0.18805864
1,0.10478159 0.19268666 -0.08296657 -0.050429333 0.10038691 -0.24749663 0.22777112 0.40483928 -0.13710093 -0.14694567 0.02058915 -0.29020578 -0.055480376 -0.019458413 0.010229457 -0.026979486 0.09807675 -0.11951081 -0.0142506985 -0.45333037 0.08671014 0.15623002 0.19374473 -0.10443352 -0.1276507 0.073729046 -0.1530457 -0.044137094 -0.17353542 0.11475674 0.23047656 -0.29619947 0.16714828 -0.21658325 -0.20609671 0.28395838 -0.08484129 -0.058349006 -0.049374755 -0.14031215 0.17829348 -0.1125552 -0.11848665 0.13915782 0.28187302 0.025250306 -0.044674978 -0.17500643 0.106381 0.14650297 0.100229695 -0.053189524 -0.009833735 0.013393491 -0.002767877 0.20633665 0.13760951 -0.023611195 -0.031923354 0.019578492 0.08225354 -0.019769259 0.13873619 0.06364586 -0.08760559 0.39274666 0.07691886 0.17513521 -0.28009534 0.154263 -0.17479116 0.09362729 0.20646161 0.081409484 0.119469285 0.06780499 -0.017906517 0.08108 -0.07025894 -0.06981444 -0.20390685 0.13464217 -0.23394725 0.31219122 -0.16222218 -0.06157354 0.2771504 0.16295081 0.15491673 0.073326536 0.21919903 0.07035397 0.12846537 0.03378063 0.28790545 0.101702884 0.11201223 0.040077593 -0.016449805 -0.109264255
